Name,Size,Form,MOMOriginal,Picture
Lavender Haze,5 in,Semi Double,Y,lavender-haze.jpg
Lake Sylvia,4 in,Informal Decorative,Y,lake-sylvia.jpg
Abundance,4 in,Informal Decorative,Y,abundance.jpg
Pauly Pocket,7 in,Informal Decorative,Y,pauly-pocket.jpg
Ella Jo,5 in,Peony,Y,ella-jo.jpg
Small World,2 in,Ball,N,small-world.jpg
Labyrinth,5 in,Informal Decorative,N,labyrinth.jpg
Breakout,6 in,Informal Decorative,N,breakout.jpg
Moor Place,<2 in,Pompon,N,moor-place.jpg
Cafe Au Lait,7 in,Informal Decorative,N,cafe-au-lait.jpg
Cornell Bronze,2 in,Ball,N,cornell-bronze.jpg
Coralie,4 in,Formal Decorative,N,unavailable.png
Bantling,<2 in,Pompon,N,bantling.jpg
Rocco,<2 in,Pompon,N,unavailable.png
Buttercup,<2 in,Pompon,N,buttercup.jpg
Frank Holmes,<2 in,Pompon,N,frank-holmes.jpg
Pink Pearl,2 in,Ball,N,pink-pearl.jpg
Blizzard,5 in,Formal Decorative,N,unavailable.png
Kelvin Floodlight,7 in,Formal Decorative,N,kelvin-floodlight.jpg
Sweet Suzanne,2 in,Ball,N,sweet-suzanne.jpg
Linda's Baby,2 in,Ball,N,lindas-baby.jpg
